

A/C DURGA GENRAL STORE JHAKRI       In M/S RAM KISHAN JIVA RAM Page No. 1
 A063 VILL.   PO JHAKRI                           PAN            9418984464  4GG
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F          0.00
11/11/2023S N328886           TO SALE                     9922.45        0.00       11272.01
13/11/2023S N329114           TO SALE                     2249.56        0.00       13521.57
14/11/2023C A201S             BY CASH N329114 DURGA GE       0.00     2249.56       11272.01
15/11/2023S N329388           TO SALE                      756.24        0.00       12028.25
16/11/2023S N329434           TO SALE                     1459.03        0.00       13487.28
16/11/2023C A103N             BY CASH N329434 DURGA GE       0.00     1459.03       12028.25
16/11/2023C A103S             BY CASH N329388 DURGA GE       0.00      756.24       11272.01
17/11/2023S N329643           TO SALE                     8526.51        0.00       19798.52
18/11/2023S N329746           TO SALE                     7065.50        0.00       26864.02
18/11/2023J J-CH              BY CH 136219 Q101              0.00    11273.00       15591.02
20/11/2023S N329999           TO SALE                     3436.23        0.00       19027.25
22/11/2023S N330336           TO SALE                     1105.04        0.00       20132.29
22/11/2023C A201S             BY CASH N329999 DURGA GE       0.00     3436.23       16696.06
23/11/2023C A103S             BY CASH N330336 DURGA GE       0.00     1105.04       15591.02
24/11/2023S N330540           TO SALE                     5698.22        0.00       21289.24
25/11/2023S N330630           TO SALE                     4205.72        0.00       25494.96

                         TOTAL                          491079.26   465584.30       25494.96


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
